sheet,source_log,process_original,process_normalized,run_number_in_same_log,step_number,step_original,step_normalized,step_seconds,total_seconds_at_step,severity,process_run_total_seconds,average_step_seconds_ignoring_dates,average_process_total_seconds_ignoring_dates
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,115,Apply column widths: Template - Demo P,Apply column widths: Template - Demo P,0.236,55.122,OK,119.558,0.187,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,116,Apply governed text/date/number formats: Template - Demo P,Apply governed text/date/number formats: Template - Demo P,0.005,55.127,OK,119.558,0.004,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,117,Apply hidden/show column settings: Template - Demo P,Apply hidden/show column settings: Template - Demo P,0.011,55.138,OK,119.558,0.016,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,118,No existing filter to remove: Template - Demo P,No existing filter to remove: Template - Demo P,0.211,55.349,OK,119.558,0.589,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,119,Create filter: Template - Demo P,Create filter: Template - Demo P,0.713,56.062,OK,119.558,0.436,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,120,Apply row heights skipped for template: Template - Demo P,Apply row heights skipped for template: Template - Demo P,0.000,56.062,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,121,Apply full template formatting: Template - Demo P,Apply full template formatting: Template - Demo P,0.000,56.062,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,122,Write metadata/signature: Template - Demo P,Write metadata/signature: Template - Demo P,0.151,56.213,OK,119.558,0.154,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,123,Final date/number format enforcement: Template - Demo P,Final date/number format enforcement: Template - Demo P,0.005,56.218,OK,119.558,0.006,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,124,Ensure frozen rows: Template - Demo P,Ensure frozen rows: Template - Demo P,0.202,56.420,OK,119.558,0.240,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,125,Ensure frozen columns: Template - Demo P,Ensure frozen columns: Template - Demo P,1.817,58.237,OK,119.558,0.536,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,126,Ensure tab color: Template - Demo P,Ensure tab color: Template - Demo P,0.152,58.389,OK,119.558,0.209,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,127,Template hide deferred until batch completion: Template - Demo P,Template hide deferred until batch completion: Template - Demo P,0.000,58.389,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,128,Complete full template build: Template - Demo P,Complete full template build: Template - Demo P,0.000,58.389,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,129,Open/create sheet: Template - Disenrolled Exclusion,Open/create sheet: Template - Disenrolled Exclusion,6.285,64.674,OK,119.558,5.728,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,130,Template signature mismatch - full build required: Template - Disenrolled Exclusion,Template signature mismatch - full build required: Template - Disenrolled Exclusion,0.049,64.723,OK,119.558,0.036,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,131,Template refresh decision: FULL_BUILD - Template - Disenrolled Exclusion (template sheet did not exist; no stored signature),Template refresh decision: FULL_BUILD - Template - Disenrolled Exclusion (template sheet did not exist; no stored signature),0.000,64.723,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,132,Template timing mode: FIRST_BUILD - Template - Disenrolled Exclusion,Template timing mode: FIRST_BUILD - Template - Disenrolled Exclusion,0.000,64.723,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,133,Full template build required: Template - Disenrolled Exclusion,Full template build required: Template - Disenrolled Exclusion,0.000,64.723,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,134,Set template grid from dashboard: Template - Disenrolled Exclusion (100 rows x 66 cols),Set template grid from dashboard: Template - Disenrolled Exclusion (100 rows x 66 cols),0.613,65.336,OK,119.558,0.653,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,135,Create template fast path - clear skipped for blank sheet: Template - Disenrolled Exclusion,Create template fast path - clear skipped for blank sheet: Template - Disenrolled Exclusion,0.000,65.336,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,136,Apply title rows: Template - Disenrolled Exclusion,Apply title rows: Template - Disenrolled Exclusion,0.261,65.597,OK,119.558,0.250,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,137,Apply header row: Template - Disenrolled Exclusion,Apply header row: Template - Disenrolled Exclusion,0.026,65.623,OK,119.558,0.050,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,138,Apply alternating color rules: Template - Disenrolled Exclusion,Apply alternating color rules: Template - Disenrolled Exclusion,0.585,66.208,OK,119.558,0.464,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,139,Apply data row base style: Template - Disenrolled Exclusion,Apply data row base style: Template - Disenrolled Exclusion,0.000,66.208,OK,119.558,8.956,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,140,Apply column widths: Template - Disenrolled Exclusion,Apply column widths: Template - Disenrolled Exclusion,0.242,66.450,OK,119.558,0.195,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,141,Apply governed text/date/number formats: Template - Disenrolled Exclusion,Apply governed text/date/number formats: Template - Disenrolled Exclusion,0.004,66.454,OK,119.558,0.005,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,142,Apply hidden/show column settings: Template - Disenrolled Exclusion,Apply hidden/show column settings: Template - Disenrolled Exclusion,0.004,66.458,OK,119.558,0.005,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,143,No existing filter to remove: Template - Disenrolled Exclusion,No existing filter to remove: Template - Disenrolled Exclusion,0.207,66.665,OK,119.558,0.438,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,144,Create filter: Template - Disenrolled Exclusion,Create filter: Template - Disenrolled Exclusion,0.281,66.946,OK,119.558,0.304,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,145,Apply row heights skipped for template: Template - Disenrolled Exclusion,Apply row heights skipped for template: Template - Disenrolled Exclusion,0.000,66.946,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,146,Apply full template formatting: Template - Disenrolled Exclusion,Apply full template formatting: Template - Disenrolled Exclusion,0.000,66.946,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,147,Write metadata/signature: Template - Disenrolled Exclusion,Write metadata/signature: Template - Disenrolled Exclusion,0.072,67.018,OK,119.558,0.089,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,148,Final date/number format enforcement: Template - Disenrolled Exclusion,Final date/number format enforcement: Template - Disenrolled Exclusion,0.005,67.023,OK,119.558,0.006,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,149,Ensure frozen rows: Template - Disenrolled Exclusion,Ensure frozen rows: Template - Disenrolled Exclusion,0.252,67.275,OK,119.558,0.331,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,150,Ensure frozen columns: Template - Disenrolled Exclusion,Ensure frozen columns: Template - Disenrolled Exclusion,0.226,67.501,OK,119.558,0.265,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,151,Ensure tab color: Template - Disenrolled Exclusion,Ensure tab color: Template - Disenrolled Exclusion,0.393,67.894,OK,119.558,0.348,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,152,Template hide deferred until batch completion: Template - Disenrolled Exclusion,Template hide deferred until batch completion: Template - Disenrolled Exclusion,0.000,67.894,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,153,Complete full template build: Template - Disenrolled Exclusion,Complete full template build: Template - Disenrolled Exclusion,0.000,67.894,OK,119.558,0.000,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,154,Open/create sheet: Template - Master List,Open/create sheet: Template - Master List,9.323,77.217,OK,119.558,6.346,85.917
Create / Refresh All Templates,v1.8.9.3 - Wave 4 - Framework Timing Report.pdf,Create / Refresh All Templates,Create / Refresh All Templates,1,155,Template signature mismatch - full build required: Template - Master List,Template signature mismatch - full build required: Template - Master List,0.055,77.272,OK,119.558,0.038,85.917
